fiscal_year,awarding_agency_id,funding_agency_id,annual_spending
,827,827,541982840.48
,827,1196,0.0
,828,,1762033597.16
,828,103,0.0
,828,561,0.0
,828,806,194500.0
,828,821,6600.0
,828,827,0.0
,828,828,994421205.099999
,828,830,0.0
,829,,103098594.87
,829,829,206731051.05
,830,,116494220383.3
,830,103,0.0
,830,830,5344960964.48001
,830,1174,10775975.9
,830,1196,17140644.18
,830,1217,12352741.54
,830,1219,2922182.29
,831,,915960982119.14
,831,831,113223988042.17
,833,,0.0
,834,,2093871019.0
,834,847,149544.0
,836,,10908601.0
,840,,104731620.57
,840,100,23281.86
,840,133,0.0
,840,171,319952.0
,840,196,2493163.95
,840,240,1888176.67
,840,253,672957.5
,840,255,883776.0
,840,263,596394.2
,840,503,2106763.41
,840,539,332586.8
,840,561,514931.48
,840,611,146437.4
,840,694,2530818.14
,840,696,1279091.58
,840,700,2654851.55
,840,770,34146.0
,840,772,926753.51
,840,773,2225179.85
,840,814,0.0
,840,824,7703242.64
,840,825,20178308.24
,840,828,1050769.88
,840,830,35093188.72
,840,831,238005.58
,840,837,2500.0
,840,840,1052318249.97
,840,862,311385.0
,840,882,14477628.45
,840,1068,0.0
,840,1173,27187982.76
,840,1174,43797393.5
,840,1188,118210189.23
,840,1196,87387963.88
,840,1206,4743193.19
,840,1209,15515624.21
,840,1214,263048.2
,840,1217,5964576.1
,840,1219,7938157.65
,840,1221,1463414.63
,840,1225,15100427.65
,840,1227,14002366.78
,840,1228,150000.0
,840,1231,12108985.97
,846,,2599009.0
,848,,110373767815.0
,848,848,11965170841.0
,862,,5567276495.7
,862,149,615824.0
,862,767,939243.0
,862,862,27453345132.26
,862,1173,169700.0
,862,1188,47993.3
,862,1196,34525149.0
,862,1214,1083902.0
,862,1216,1337484.0
,878,878,1901718745.11
,879,,0.0
,882,,162861241.0
,882,882,2899326289.07
,882,900,819642.0
,882,903,1123439.58
,883,,3430355.0
,888,888,
,891,,134540434.0
,891,891,38547108.3
,896,,21881046370.0
,896,896,14450649301.61
,900,,33549959323.0
,900,900,3612612681.3
,901,,40275720521.0
,901,901,20527387180.03
,902,,19728673.0
,903,,683208368.0
,903,903,3396038.48
,907,,108122704.0
,907,907,19283792.0
,909,,0.0
,925,,3605932.92
,925,925,145110915.38
,928,,67711424.0
,930,,12654084849.29
,930,930,4759004013.27
,930,960,42000.0
,930,965,600000.0
,930,998,17803.07
,955,,0.0
,998,,2757455.61
,998,998,11054461.62
,1067,,219957.0
,1067,1067,3014692.55
,1068,,92643730731.5205
,1068,1068,1869849848.38
,1069,,607014191.0
,1081,,8277910514.0
,1082,,697103821.0
,1083,,6356802559.0
,1084,,2620000.0
,1085,,2552188811.0
,1086,,27926098833.0
,1088,,762428308.0
,1090,,13017755420.0
,1092,,2367532266.0
,1093,,840334347.0
,1095,,2000000.0
,1098,,5671732082.0
,1099,,16128966788.0
,1101,,2666208829.0
,1103,,4709296451.0
,1104,,618878653.0
,1105,,7188752775.0
,1106,,11753526.0
,1117,,1967650.0
,1121,,41399975.0
,1122,,36840773.0
,1123,,146056023.0
,1124,,45959878.0
,1125,,8786580.0
,1125,1125,2701114.34
,1126,1126,499543.5
,1127,1127,1711510.11
,1128,,1421769.18
,1128,1128,17119186.26
,1129,,0.0
,1129,1129,21562092.15
,1130,,2002.0
,1130,1130,9046836.83
,1132,1132,920404.99
,1133,,5016572.0
,1135,,381348.0
,1135,1135,1816567.52
,1136,1136,282378.06
,1137,,188997.05
,1137,1137,1083741.16
,1139,,110000.0
,1139,1139,1996774.95
,1141,1141,90000.0
,1145,,0.0
,1147,1147,77933766.0
,1150,,0.0
,1153,,32210.0
,1153,1153,31574.0
,1154,,374546300.94
,1154,1154,261402022.01
,1158,1158,23732477.21
,1160,1160,104361.06
,1162,1162,1956439.19
,1163,,567113551.84
,1163,1163,149670826.76
,1165,,8435138.0
,1166,,3813117572.14
,1166,1166,336097423.69
,1167,,12825964.0
,1170,,0.0
,1170,1170,22263919.57
,1171,,14000.0
,1171,1171,3958311.56
,1173,,3507393860.0
,1174,,1440934946.0
,1174,315,73413.48
,1174,503,0.0
,1174,561,6379576.0
,1174,772,12234216.85
,1174,773,59214.0
,1174,1173,98605854.23
,1174,1174,30497252529.41
,1174,1178,0.0
,1174,1179,0.0
,1174,1188,118531731.31
,1174,1196,186027754.96
,1174,1206,0.0
,1174,1208,356263.2
,1174,1209,567989.76
,1174,1213,0.0
,1174,1216,49804739.16
,1174,1217,230580.32
,1174,1219,40488276.85
,1174,1222,0.0
,1174,1223,2576688.86
,1174,1225,4663999.77
,1174,1228,151280.67
,1174,1231,71048.0
,1174,1233,828796.0
,1174,1234,1815301.77
,1174,1235,12150.0
,1174,1251,96531.0
,1178,,208278267.0
,1188,,8431924512.2
,1188,183,4227835.0
,1188,195,975302.0
,1188,315,900000.0
,1188,486,156705000.0
,1188,491,221999.0
,1188,561,6060440.78
,1188,634,0.0
,1188,700,71826439.02
,1188,772,1960152.0
,1188,773,320835.0
,1188,782,518605.44
,1188,862,293931.13
,1188,930,17747222.59
,1188,1173,225631612.65
,1188,1174,163701757.24
,1188,1178,0.0
,1188,1188,26641353748.5498
,1188,1192,0.0
,1188,1196,629596789.26
,1188,1203,0.0
,1188,1205,3138135828.33
,1188,1206,1051656.99
,1188,1208,1364536.68
,1188,1209,776996.89
,1188,1211,0.0
,1188,1212,6875.0
,1188,1213,0.0
,1188,1214,24156.0
,1188,1215,14374000.0
,1188,1216,26385392.39
,1188,1217,1060028.81
,1188,1218,0.0
,1188,1219,120081626.21
,1188,1220,0.0
,1188,1222,25867.56
,1188,1223,167302.71
,1188,1225,71233998.3
,1188,1226,0.0
,1188,1228,6383556.44
,1188,1231,513452.0
,1188,1235,194620.86
,1188,1239,0.0
,1188,1251,128393.79
,1189,,58625037.0
,1192,,399986.0
,1196,,996701239.0
,1196,261,0.0
,1196,751,602409.0
,1196,772,4455275.27
,1196,1173,622919385.16
,1196,1174,548212833.45
,1196,1188,169509256.19
,1196,1196,25990370166.54
,1196,1200,0.0
,1196,1209,414008.16
,1196,1211,0.0
,1196,1212,37732.92
,1196,1213,0.0
,1196,1216,71718618.74
,1196,1217,1506200.65
,1196,1219,87971562.47
,1196,1220,151960.0
,1196,1222,540000.0
,1196,1223,21407.22
,1196,1227,792.0
,1196,1231,1009606.0
,1196,1234,1008579.0
,1196,1235,10008930.36
,1205,,31765681.0
,1205,1205,88000.0
,1206,,8572156.0
,1206,561,1751000.0
,1206,840,0.0
,1206,1206,97589594.13
,1208,,22073581.0
,1208,1173,247725.13
,1208,1208,149965389.59
,1208,1232,0.0
,1209,,2150000.0
,1209,1173,0.0
,1209,1174,652901375.57
,1209,1179,0.0
,1209,1188,39339309.09
,1209,1196,513674116.35
,1209,1200,0.0
,1209,1208,9575441.44
,1209,1209,189287613.28
,1209,1210,0.0
,1209,1211,0.0
,1209,1212,0.0
,1209,1214,0.0
,1209,1216,0.0
,1209,1217,0.0
,1209,1219,125195323.57
,1209,1223,2467259.0
,1209,1225,0.0
,1209,1231,0.0
,1209,1234,999999.19
,1209,1235,2580232.87
,1210,,0.0
,1210,1173,85687359.0
,1210,1174,42644746.0
,1210,1188,179551488.0
,1210,1196,56382068.98
,1210,1210,41901487.06
,1210,1214,2178486.0
,1210,1216,1706799.94
,1210,1231,6524340.0
,1210,1234,1100429.0
