toptier_agency_id,create_date,update_date,cgac_code,fpds_code,abbreviation,name,COFOG,mission,website,icon_filename
111,1517428389.15036,1520545217.34676,517,9547,DRA,Delta Regional Authority,6,"The Delta Regional Authority will advance its communities through the practical application of innovative ideas and strategies that foster inclusive commuinities, strengthen regional collaboration and capacity, achieve sustained, long-term economic development and produce meaningful opportunities for all the Delta people.",http://dra.gov/,
112,1517428389.16811,1520545217.36079,434,9549,OGE,Office of Government Ethics,1,Provide overall leadership and oversight of the executive branch ethics program designed to prevent and resolve conflicts of interest.,https://www.oge.gov/,
113,1517428389.18602,1520545217.37478,581,955F,CFPB,Consumer Financial Protection Bureau,4,"The CFPB is a 21st century agency that helps consumer finance markets work by making rules more effective, by consistently and fairly enforcing those rules, and by empowering consumers to take more control over their economic lives.",https://www.consumerfinance.gov/,
114,1517428389.20356,1520545217.38905,313,9560,,Barry Goldwater Scholarship and Excellence In Education Foundation,9,"The Goldwater Scholarship Program, one of the oldest and most prestigious national scholarships in the natural sciences, engineering and mathematics in the United States, seeks to identify and support college sophomores and juniors who show exceptional promise of becoming this NationÃ­s next generation of research leaders in these fields.",https://goldwater.scholarsapply.org/,
115,1517428389.22149,1520545217.40373,539,9561,RATB,Recovery Accountability and Transparency Board,1,,,
116,1517428389.23905,1520545217.41809,362,9562,FFIEC,Federal Financial Institutions Examination Council,4,,,
117,1517428389.25669,1520545217.43233,510,9565,CSB,United States Chemical Safety Board,4,Drive chemical safety change through independent investigations to protect people and the environment.,http://www.csb.gov/,
118,1517428389.27455,1520545217.44681,514,9568,BBG,Broadcasting Board of Governors,8,"The mission of the Broadcasting Board of Governors is to inform, engage, and connect people around the world in support of freedom and democracy.",https://www.bbg.gov/,
119,1517428389.29243,1520545217.46121,512,9570,PRESIDIO,Presidio Trust,6,,,
120,1517428389.3102,1520545217.47519,513,9572,DENALI,Denali Commission,4,"The Denali Commission will partner with tribal, federal, state, and local governments and collaborate with all Alaskans to develop basic public infrastructure and enhance the quality of life in Alaska's communities.",https://www.denali.gov/,
121,1517428389.32829,1520545217.48918,485,9577,CNCS,Corporation for National and Community Service,6,"Improving lives, strengthening communities and fortifying the civic health of our nation.",https://www.nationalservice.gov/,
122,1517428389.34613,1520545217.50331,458,9580,USIP,United States Institute of Peace,8,,,
123,1517428389.3638,1520545217.51672,476,9589,UMWAHRF,United Mine Workers of America Health and Retirement Funds,10,,,
124,1517428389.38177,1520545217.53137,345,9593,CAVC,United States Court of Appeals for Veterans Claims,10,"The court has jurisdiction to, inter alia, (1) review decisions of the Board of Veterans' Appeals (Board) and may affirm, vacate, reverse, or remand as appropriate in such cases, (2) issue all writs necessary or appropriate in aid of its jurisdiction (28 U.S.C. Ã 1651), (3) set aside rules, and regulations issues or adopted by the Secretary, the Board, or the Board Chairman that are arbitrary or capricious, an abuse of discretion, or otherwise not in accordance with law, contrary to constitutional right, in excess of statutory jurisdiction or authority, or without observance of the procesdures required by law, and (4) compel actions of the Secretary of Veterans Affairs that were unlawfully withheld or unreasonably delayed.",https://www.uscourts.cavc.gov/,
125,1517428389.39956,1520545217.54512,511,9594,CSOSA,Court Services and Offender Supervision Agency,3,"CSOSA's mission is to enhance public safety, prevent crime and reduce recidivism among those supervised and to support the fair administration of justice in close collaboration with the community.",https://www.csosa.gov/,
128,1517428392.43805,1520545220.13994,96,,USACE,Corps of Engineers - Civil Works,5,"Serve the public by providing the Nation with quality and responsive Development and management of the Nation's water resources; Support of commercial navigation;  Restoration, protection and management of aquatic ecosystems; Flood risk management; and Engineering and technical services in an environmentally sustainable, economic, and technically sound manner with a focus on public safety and collaborative partnerships.",http://www.usace.army.mil/Missions/Civil-Works/,
129,1517428392.49331,1520545220.18485,309,,ARC,Appalachian Regional Commission,4,"ARC's mission is to innovate, partner, and invest to build community capacity and strengthen economic growth in Appalachia.",https://www.arc.gov/,
130,1517428392.51133,1520545220.19848,413,,NCD,National Council on Disability,10,"NCD's mission is to be a trusted advisor, in collaboration with people with disabilities to: The President; The Congress; Federal entities; State, tribal communities, and local governments; and Other entities and organizations. NCD fulfills its advisory roles regarding disability policies, programs, procedures, and practices that enhance equal opportunity by: Convening stakeholdersâ â to acquire timely and relevant input for recommendations and action steps; Gathering and analyzing data and other information; Engaging and influencing current debates and agendas; Identifying and formulating solutions to emerging and long-standing challenges; and Providing tools to facilitate effective implementation.",https://www.ncd.gov/,
